label,precision,recall,f1-score,support,accuracy
0,0.9389312977099237,0.9609375,0.9498069498069498,128.0,
1,0.87248322147651,0.948905109489051,0.9090909090909091,137.0,
10,0.9553571428571429,0.9727272727272728,0.963963963963964,110.0,
11,0.9777777777777777,0.967032967032967,0.9723756906077348,91.0,
12,1.0,0.8173076923076923,0.8994708994708994,104.0,
13,0.9411764705882353,0.9090909090909091,0.9248554913294798,88.0,
14,0.9878048780487805,0.9878048780487805,0.9878048780487805,82.0,
15,0.9473684210526315,0.9782608695652174,0.9625668449197861,92.0,
16,0.95,1.0,0.9743589743589743,38.0,
17,0.860655737704918,0.963302752293578,0.9090909090909091,109.0,
18,1.0,1.0,1.0,74.0,
19,1.0,0.989010989010989,0.994475138121547,91.0,
2,0.9461077844311377,0.9693251533742331,0.9575757575757575,163.0,
3,0.9902912621359223,0.9760765550239234,0.983132530120482,209.0,
4,0.984375,0.9618320610687023,0.972972972972973,131.0,
5,0.9928057553956835,0.971830985915493,0.9822064056939501,142.0,
6,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0,
7,0.9824561403508771,0.9824561403508771,0.9824561403508771,57.0,
8,0.9915966386554622,0.944,0.9672131147540983,125.0,
9,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0,
accuracy,,,,,0.9618427175430433
macro avg,0.9648357809036321,0.9638714962593664,0.9635472830082856,2149.0,
weighted avg,0.9635834970900242,0.9618427175430433,0.9619074536503374,2149.0,
